Employee_ID,Age,Department,Job_Role,Education_Level,Marital_Status,Job_Tenure,Distance_From_Home,gender_cleaned,attrition,Exit_Interview_Score,TenureBucket,Performance_Rating,Last_Promotion_Year,Training_Hours,Work_Life_Balance,Job_Satisfaction,YearsSincePromotion,TrainingIntensity,LowSatisfaction,PoorWorkLifeBalance,AttritionFlag,GrowthIndex
1,22,HR,Developer,PhD,Married,1,8,male,False,,Junior,2,2019,28,3,1,6,4.0,True,False,0,14.4
2,38,IT,Marketing Lead,Master's,Married,18,32,male,False,3.0,Senior,4,2022,174,3,2,3,43.5,True,False,0,9.957894736842105
3,35,Sales,Senior Developer,Bachelor's,Divorced,4,42,genderqueer,False,,Mid,1,2022,119,5,4,3,29.75,False,False,0,24.0
4,37,Marketing,Senior Developer,Bachelor's,Divorced,5,43,male,False,,Senior,4,2015,82,4,1,10,7.454545454545454,True,False,0,14.466666666666667
5,26,Operations,Manager,Master's,Single,10,33,female,False,,Senior,3,2014,46,2,4,11,3.8333333333333335,False,True,0,4.781818181818181
6,44,Marketing,Developer,Master's,Single,15,15,female,False,,Senior,1,2011,16,1,1,14,1.0666666666666667,True,True,0,1.2
7,38,Finance,Marketing Lead,PhD,Single,7,2,genderfluid,False,,Senior,1,2010,93,5,4,15,5.8125,False,False,0,11.825
8,28,IT,Developer,PhD,Married,19,38,female,False,,Senior,5,2017,165,4,2,8,18.333333333333332,True,False,0,9.25
9,22,Finance,Marketing Lead,Bachelor's,Single,12,37,female,False,,Senior,1,2024,102,2,4,1,51.0,False,True,0,8.046153846153846
10,25,Operations,HR Specialist,PhD,Divorced,2,37,female,False,,Junior,4,2020,95,5,1,5,15.833333333333334,True,False,0,32.46666666666667
11,46,Marketing,Manager,Master's,Married,1,31,female,False,2.0,Junior,5,2012,114,5,4,13,8.142857142857142,False,False,0,58.0
12,50,HR,Senior Developer,PhD,Married,7,18,genderqueer,False,,Senior,2,2017,176,2,4,8,19.555555555555557,False,True,0,22.4
13,48,Finance,Manager,Master's,Single,7,45,male,False,3.0,Senior,1,2020,105,4,4,5,17.5,False,False,0,13.325
14,32,HR,HR Specialist,Bachelor's,Divorced,10,48,female,False,,Senior,2,2012,130,3,2,13,9.285714285714286,True,False,0,12.218181818181819
15,48,Finance,Data Analyst,Bachelor's,Single,6,7,female,False,,Senior,3,2018,85,3,2,7,10.625,True,False,0,12.742857142857142
16,53,IT,Manager,PhD,Married,8,38,male,False,,Senior,2,2014,169,2,4,11,14.083333333333334,False,True,0,19.177777777777777
17,46,IT,Manager,Bachelor's,Single,9,12,female,False,,Senior,1,2019,17,3,5,6,2.4285714285714284,False,False,0,1.9
18,44,Operations,HR Specialist,Bachelor's,Married,6,25,male,False,,Senior,2,2018,51,5,1,7,6.375,True,False,0,7.685714285714286
19,56,Marketing,Manager,PhD,Married,11,31,female,False,,Senior,1,2020,104,5,1,5,17.333333333333332,True,False,0,8.866666666666665
20,46,IT,Manager,Bachelor's,Divorced,18,42,bigender,False,,Senior,1,2012,21,3,2,13,1.5,True,False,0,1.305263157894737
21,28,Finance,HR Specialist,Master's,Divorced,8,45,female,False,,Senior,5,2014,84,1,5,11,7.0,False,True,0,10.333333333333334
22,52,Finance,HR Specialist,Bachelor's,Single,6,28,female,False,,Senior,4,2017,48,5,5,8,5.333333333333333,False,False,0,7.657142857142857
23,58,HR,Senior Developer,Bachelor's,Single,7,20,female,False,,Senior,2,2014,161,2,5,11,13.416666666666666,False,True,0,20.525
24,36,Sales,Data Analyst,Bachelor's,Single,1,37,male,False,,Junior,2,2011,16,3,1,14,1.0666666666666667,True,False,0,8.4
25,32,Finance,Marketing Lead,Master's,Divorced,6,9,female,False,,Senior,4,2022,37,2,2,3,9.25,True,True,0,6.085714285714285
26,50,HR,Marketing Lead,Bachelor's,Divorced,9,7,genderfluid,False,,Senior,2,2014,165,4,2,11,13.75,True,False,0,16.9
27,26,Marketing,Data Analyst,Bachelor's,Divorced,4,21,male,False,,Mid,5,2010,64,3,1,15,4.0,True,False,0,13.8
28,24,IT,Data Analyst,PhD,Divorced,1,5,male,False,2.0,Junior,3,2017,90,1,4,8,10.0,False,True,0,45.6
29,40,IT,Data Analyst,Bachelor's,Divorced,5,46,male,False,,Senior,4,2010,140,1,5,15,8.75,False,True,0,24.133333333333333
30,23,Finance,HR Specialist,Bachelor's,Single,13,35,female,False,,Senior,4,2013,193,5,3,12,14.846153846153847,False,False,0,14.585714285714287
31,42,IT,Marketing Lead,Bachelor's,Married,4,12,male,False,,Mid,3,2014,199,2,3,11,16.583333333333332,False,True,0,40.4
32,38,Marketing,Developer,Master's,Single,11,26,female,False,,Senior,4,2023,140,4,4,2,46.666666666666664,False,False,0,12.466666666666667
33,28,Sales,Developer,PhD,Single,7,45,female,False,,Senior,1,2019,158,2,2,6,22.571428571428573,True,True,0,19.95
34,26,Operations,Developer,Bachelor's,Single,10,2,female,False,,Senior,3,2011,192,4,2,14,12.8,True,False,0,18.054545454545455
35,43,Finance,Senior Developer,PhD,Divorced,15,26,female,False,,Senior,1,2010,98,5,1,15,6.125,True,False,0,6.325
36,32,Marketing,Data Analyst,Master's,Divorced,8,36,male,False,,Senior,2,2017,65,3,5,8,7.222222222222222,False,False,0,7.622222222222223
